participantId,windowEvents,provenanceNodes
b94c1c75-cb1e-4363-bea4-15490b2df528,0,0
6957b576-ce03-43ba-8638-0f097cea38de,0,0
99b29fb2-27e9-4232-ab2e-2bf82bd3a0ec,12945,5246
0d4fac89-5ae0-4dcb-89b3-eab2fef5daf5,0,0
9a25c134-9fee-404f-95fd-ea06e1e8742d,0,0
b0b54dda-ad10-43ff-9557-62eea135b5eb,4296,2688
7689bd12-0ad9-4e35-a142-67b5eba78c73,0,0
5475999e-34f7-4c16-81d3-e5b474505f76,0,0
944e5429-c0c5-4f1e-9483-90dd98f63b88,3941,6188
fuagnMiMBkey2Up1YLnx,0,0
e951934f-5b98-4228-a05e-d9bddb6fd498,0,0
a68f6380-c0b9-437b-80f1-59276cbbcab8,0,0
71c138d5-4f57-403d-be2d-343dcde2f52f,0,0
4c3a509c-751a-49ab-8fa5-e68a8a0a73ef,0,0
99c3b5ae-2ac3-4f0a-a198-a345b44e9441,11084,2777
4dd4d82d-ff6a-4716-9f90-02821bd3c11a,5551,2004
5590833a-56d8-4b66-8547-3fca7aeddc3a,0,0
337c116b-47e2-489b-b9c3-4595dfdf1417,0,0
36f7d339-013e-4342-b185-7a63fb5b2966,0,0
d1a74112-94f8-44c0-96c6-1868e87c3af8,135,82
83c61e50-fff5-411b-a1b4-5d6f3869a3d7,0,0
3e13e6e3-0bad-4523-b75a-863ece350af2,0,0
0527989e-0caa-4812-8ea3-a3cc2d387ca4,244,0
c894c0a2-9e73-453d-a17d-dd1720a91b74,21,0
4275cdb2-3c42-4330-b0f4-6242e68cc58c,0,0
3b4e5184-86d9-40f7-88d6-236270193d22,202,185
c49713c6-a548-4f14-a4c3-360ca00d2b55,12,0
ada24c77-640d-4fc6-a3c5-80b31f74b175,0,0
132b77d7-16af-433a-8816-16bf91e01db3,0,0
937ff227-78d8-4cc0-bfe2-a46aaaf840b3,7074,2446
382ac8ea-c38c-4765-9741-89d7689c5f4e,0,0
ee6c2f92-37f4-474d-980c-760c5bdd3f37,0,0
8749c143-3eb7-4bee-831b-d8292ab9352f,0,0
8b6172f2-283c-4d90-9c9f-e131e7ddf2f0,0,0
0aa806a3-4100-4e98-842c-a985190541ae,0,0
1adc8e8a-f066-4e15-8ae1-15bf1054eab0,1437,1372
d6765384-e157-44c9-ba15-83d8cfd9ae10,0,0
927b9cfe-b9ba-441f-b444-c53f63052295,0,0
f776c6e7-48a7-4cd8-b124-8f3f1743c606,0,0
9bea0702-4c7e-45e7-bf98-347d8ce956ab,0,0
6d92ee61-8209-45ca-89d6-c4c465ae5bc2,0,0
5c964cd2-4cac-44c7-8d3c-6bd918325be4,0,0
24b6cace-4d68-41c3-b2e2-3e0e2947ea91,0,0
1edc63bd-e86e-4fc6-ad50-42708fa994e1,138,2
b2836e39-ad8e-4e5f-aebc-204e6538eb0c,0,0
ccca45dc-26d7-41cc-9253-9efce46b82bc,0,0
f26d08b6-aaa1-4b35-a8ac-191409a6b527,1607,1070
6ade089f-9980-4e55-92e1-65def3ddcba3,0,0
563cb80b-ca61-47c9-833e-ccc4031d89da,8,0
82f20cd4-17a4-4e73-b1f7-43c442b87baa,263,1069
3ee2cb93-ef2b-4c57-a1cc-75348e36f6f1,24,0
89412faa-451d-41f0-8349-40e47f2bba9e,8048,3421
4e0decc3-6f1f-4de8-87c9-536b6c619d81,0,0
115bbe09-70e7-4581-b5a5-a66a2dc85567,1230,3015
51b057f2-bca7-4976-b3a1-e6f1f313c6ec,33,0
c677ba70-dd1b-4c6b-80fe-6411e2371572,0,0
ebabcc02-56be-4b31-97cc-1a5da01f0f02,0,0
8b8383d7-72e8-46e2-bd13-a10bd4e64bca,0,0
AovZYISNS5IptTLpjslN,2374,1609
dce48040-7493-4d9f-a681-2a5726962ef2,2472,663
660944b9-1669-4cfb-a89e-1e88790cb9af,0,0
17e79285-70b5-4b71-ba50-775f5ac20da2,25,0
42e0ac89-27aa-494e-8a40-273809aa0281,230,0
2b3d908b-79ed-4dcc-b7ee-f0810d564d1a,0,0
2c9c049e-668b-4ca5-8b46-6d93dab4a645,1616,5035
bbaf5f8a-5e7f-4606-8e6e-429b666cc973,0,0
05108240-1262-4484-8c30-d4603cc89bf2,0,0
de13245c-b126-4b9b-9806-a23e8cc76c0c,0,0
6bc5c535-14b0-4dbd-b6f3-194ccc924104,2771,2437
63fd419a-d4a1-4d00-af8e-a32000e3fe51,0,0
8fb95e0a-c455-42e5-8048-b28dc7b56230,4027,1402
d2a18690-d37b-4745-b4ad-365b103e0973,3601,2413
bcd0e826-aee6-472e-9cda-ddb6583f42d8,0,0
d769f98b-bb41-4fbb-aa87-751b98f641f4,0,0
85753099-593b-48e8-a730-b014a81cf367,0,0
a530197e-b7fc-49e9-80ea-845b2c0dcaf0,186,813
677585b9-1bbd-4cb8-aea1-7c57b0382ed1,59,0
625cc727-9939-440d-8145-d354766abf08,135,0
70e565cd-caf8-44c2-9318-d86254152981,19,0
feebf062-60cf-4e05-aa55-2ef074d164db,41,0
b78d1346-03af-4cd9-aeb2-fc00ddad547e,1443,318
25fee6c9-508d-4922-91e4-da43d63fa28c,3829,1553
ff83d3ce-9438-40ee-b5cd-10ffb8147fe3,149,257
f2b843c4-708d-4fe8-ad4c-eeabbb476b6e,0,0
90a4778c-d84b-459c-ae1a-c8a6ae886238,2,0
0ab28297-41b7-4aae-a1a4-bc80b5658524,0,0
4c1c30df-d40f-4d7a-ab8a-d644f7c23c31,0,0
588fe1d4-59e6-4b88-a571-b7df6a6e2736,30,0
34a500e3-6ee8-47f2-8a1a-007ea5261f37,0,0
06df2c83-9c15-4839-af14-3955e59a8ba2,144,0
6d78c17f-d258-4796-bc3f-bc511b4ff87c,4557,2258
4db35be1-5202-4390-9f0a-8b8fdad3030d,0,0
e5da64b7-4415-4296-93e5-daa52ba45d7b,1914,1310
02154e28-3f44-495b-8abf-cf98e3b27ddc,0,0
03977915-48dd-4fc4-a3db-3e243cbebee2,35,0
e700adba-920e-45e1-a6e6-1f4616d6617b,18,0
04b473f2-a41b-475f-b164-a16138ed881d,9,0
